from_account,to_account,amount,timestamp
ACC031,ACC069,6869.64,2026-05-27 09:15:39.630402
ACC048,ACC070,21014.42,2026-07-22 10:21:07.630411
ACC020,ACC054,32780.6,2026-08-09 04:25:08.630418
ACC063,ACC079,20464.98,2026-04-23 14:48:40.630423
ACC005,ACC048,10941.76,2026-05-25 15:33:38.630428
ACC031,ACC047,5057.8,2026-07-11 10:37:45.630434
ACC048,ACC070,45094.64,2026-07-03 12:14:18.630438
ACC046,ACC008,19967.17,2026-04-06 03:41:59.630443
ACC016,ACC059,4674.5,2026-04-10 11:36:45.630448
ACC077,ACC003,2623.87,2026-05-04 01:23:35.630453
ACC032,ACC017,39370.21,2026-04-09 03:27:18.630457
ACC009,ACC071,10437.15,2026-04-11 05:32:02.630462
ACC030,ACC043,38740.99,2026-07-31 10:28:26.630467
ACC077,ACC001,13936.01,2026-03-28 09:25:21.630472
ACC017,ACC070,12607.64,2026-04-03 04:20:35.630476
ACC015,ACC004,6676.98,2026-05-08 20:39:28.630481
ACC031,ACC076,16256.2,2026-04-03 03:10:26.630485
ACC034,ACC007,6425.25,2026-05-21 00:56:46.630490
ACC068,ACC015,37308.7,2026-05-31 18:35:41.630495
ACC058,ACC047,25710.57,2026-03-21 11:21:22.630499
ACC058,ACC065,11155.33,2026-06-27 17:44:00.630504
ACC006,ACC067,15151.35,2026-07-03 05:18:45.630511
ACC004,ACC008,49929.48,2026-08-11 19:49:30.630515
ACC052,ACC055,34336.27,2026-06-03 11:56:46.630520
ACC057,ACC010,44973.41,2026-05-01 20:16:39.630526
ACC078,ACC019,3377.54,2026-04-22 16:47:42.630531
ACC080,ACC075,27462.99,2026-05-02 10:36:06.630536
ACC049,ACC077,26574.79,2026-05-27 09:35:41.630540
ACC065,ACC078,21566.95,2026-08-01 07:13:24.630545
ACC015,ACC071,36069.91,2026-04-11 01:12:28.630550
ACC056,ACC058,44415.74,2026-05-19 15:38:19.630554
ACC044,ACC059,19996.64,2026-07-19 23:22:06.630559
ACC013,ACC041,21395.52,2026-07-07 10:45:18.630563
ACC033,ACC048,47684.27,2026-07-11 15:56:44.630568
ACC061,ACC009,4652.12,2026-03-16 20:57:16.630572
ACC012,ACC056,4918.57,2026-07-21 18:10:00.630577
ACC048,ACC017,27862.9,2026-06-22 04:15:11.630582
ACC072,ACC043,33533.66,2026-05-19 01:38:05.630587
ACC046,ACC055,43417.8,2026-07-18 07:30:50.630591
ACC007,ACC037,30060.46,2026-05-07 13:55:04.630596
ACC014,ACC074,25419.89,2026-03-30 08:13:21.630600
ACC062,ACC029,42379.01,2026-05-07 06:46:38.630605
ACC072,ACC048,5832.78,2026-04-23 09:20:59.630610
ACC074,ACC029,40380.35,2026-08-11 09:50:10.630614
ACC072,ACC080,30717.31,2026-07-03 02:19:22.630619
ACC072,ACC004,30488.85,2026-07-06 00:50:36.630624
ACC035,ACC004,9102.76,2026-07-14 17:56:29.630628
ACC040,ACC044,17616.07,2026-04-04 12:32:20.630633
