plate_number,owner_id,vehicle_type
OI90NW3067,P009,Motorbike
UK02MX8439,P031,Truck
AT53RD4283,P052,SUV
DW89PQ2687,P016,Motorbike
TY68LW5662,P073,SUV
ZD87DJ3342,P032,Car
PQ66NV8826,P006,Motorbike
DR17YR5183,P011,SUV
UQ99JN0139,P054,SUV
MV73HV5403,P067,Motorbike
JU73XS9363,P041,Van
XG67FD8544,P034,Truck
AC17KO5355,P027,SUV
UA20SJ4899,P070,Truck
FJ35PR3693,P079,Truck
UY54WK7772,P069,Car
HC28EQ7280,P051,Truck
TJ00AN6231,P080,SUV
EQ87FB5099,P043,Car
HU08RI8600,P042,Motorbike
GH40JP8621,P020,SUV
YZ39FX8454,P030,Car
RF67PP9334,P021,Car
ED01OA6668,P049,Truck
GH21CO7659,P005,Motorbike
RR39IK7401,P001,SUV
JW02TZ5039,P059,SUV
YR14IV2939,P040,Truck
GB62OE1850,P037,Motorbike
BO59RY9965,P007,SUV
BL77RL3586,P056,Motorbike
FR61JY9431,P035,SUV
SV37SO5265,P057,Motorbike
